customer_id,legal_name,aliases,ibans
1001,Druck Hamburg AG,Druck Hamburg|Fa. Druck Hamburg,DE81 1276 0606 4240 5979 29|DE89271385714406922412
1002,Becker & Carstens GmbH,Becker & Carstens,DE29 7400 0705 2006 4920 59|DE44 7183 5817 3782 3542 33
1003,Solartechnik Kiel AG,Solartechnik Kiel Aktiengesellschaft,DE13589997931413196527|DE39 4533 7289 5727 7410 67
1004,Jung & Groß OHG,Jung & Groß,DE62 5725 1962 2643 3855 69|DE89256324538433515453|DE35 6989 9938 1167 5537 42
1005,Schröder & Groß GmbH,Schroder & Gross|Fa. Schröder & Groß|Schröder & Groß,DE41270092188429228826|DE25 4379 8012 5460 3255 80
1006,Wagner & Krause AG,Wagner & Krause Aktiengesellschaft|Fa. Wagner & Krause,DE90373017781004233800
1007,Catering Lübeck OHG,Catering Lubeck|Catering Lubeck OHG,DE20 1167 0488 0500 4141 84|DE64462250387862399638
1008,Werbetechnik Kiel OHG,Fa. Werbetechnik Kiel,DE39 1963 4967 8822 4398 20|DE46285544639322675577
1009,Bau Kiel KG,Bau Kiel,DE65 1632 0728 3804 3735 34
1010,Fischer & Möller KG,Fischer & Moller KG,DE97471255408646544486
1011,Lang & Kühn KG,Lang & Kühn|Nordwind Handel Nord,DE38 5158 7632 7494 2459 93
1012,Friedrich AG,Friedrich|Nordwind Handel Nord,DE19 4686 4714 8617 1036 44|DE14 3397 3892 4495 8038 01
1013,Krause Druck UG (haftungsbeschränkt),Fa. Krause Druck|Krause Druck,DE54 5936 8904 6027 1480 51|DE20184442767253446465
1014,Schmidt Solartechnik AG,Fa. Schmidt Solartechnik|Schmidt Solartechnik,DE86148734468568536479
1015,Hartmann & Haas GmbH & Co. KG,Hartmann & Haas GmbH u. Co. KG|Hartmann & Haas,DE77 3125 7859 2520 9620 98
1016,Schumacher Fleischerei UG (haftungsbeschränkt),Fa. Schumacher Fleischerei,DE18176049300729496761|DE34846716389463407333
1017,Bergmann GmbH & Co. KG,Bergmann|Bergmann GmbH u. Co. KG,DE32934376376625164906|DE28281765409476679443
1018,Winter Elektro AG,Winter Elektro,DE80782443132442031968|DE74 3584 5048 6970 9526 36
1019,Roth & Frank GmbH,Roth & Frank Ges.m.b.H.,DE63853964605088907783|DE35999552526153383178
1020,Kältetechnik Kiel AG,Kältetechnik Kiel|Kältetechnik Kiel Aktiengesellschaft|Kaltetechnik Kiel,DE32 2301 6630 3194 1104 85|DE66 7445 8975 2588 1801 47|DE11862413223556075495
1021,Dietrich & Bauer GbR,Dietrich & Bauer,DE53 8077 5688 0178 3328 87|DE98 6005 8456 1518 2342 55
1022,Neumann Möbel GbR,Fa. Neumann Möbel|Neumann Möbel|Neumann Mobel,DE36468001527601983260|DE21 3047 0943 6439 4716 86|DE40402282538362066295
1023,Schröder Tiefbau AG,Schröder Tiefbau Aktiengesellschaft|Fa. Schröder Tiefbau|Schröder Tiefbau,DE36 3538 4455 9844 4429 92
1024,Immobilien Flensburg KG,Immobilien Flensburg,DE72632452312816265401|DE40 1865 7995 3693 9885 82
1025,Hahn Druck UG (haftungsbeschränkt),Hahn Druck UG (haftungsbeschrankt),DE62694300413796643598|DE38960799774289183490|DE28 5052 6387 2739 3175 64
1026,Gartenbau Flensburg e.K.,Fa. Gartenbau Flensburg,DE34 4890 7544 6293 5573 74|DE87 5882 3233 4451 6618 40|DE70105425978221323019
1027,Möller e.K.,Moller e.K.,DE16861867411954858982|DE83105945979822535138
1028,Krämer Systemhaus GmbH & Co. KG,Krämer Systemhaus GmbH u. Co. KG|Kramer Systemhaus|Krämer Systemhaus,DE77 6478 4363 5878 5706 67|DE67192117907997179678
1029,Schmid GmbH,,DE46 9319 9928 3641 4790 99|DE71702787916451982628|DE49589146415635980737
1030,König & Zimmermann AG,König & Zimmermann Aktiengesellschaft|Fa. König & Zimmermann|Konig & Zimmermann,DE45204316371730854604
1031,Becker Holzbau UG (haftungsbeschränkt),Becker Holzbau|Becker Holzbau UG (haftungsbeschrankt),DE17176873741887465418
1032,Schumacher Druck GbR,Schumacher Druck,DE79400905771003468488|DE98 4248 3481 9275 6531 06
1033,Hoffmann GmbH,Hoffmann Ges.m.b.H.|Fa. Hoffmann,DE41 9666 5248 5675 2112 22
1034,Peters Systemhaus AG,Peters Systemhaus|Peters Systemhaus Aktiengesellschaft,DE18 4437 1454 9366 0959 76|DE45817787955207032113
1035,Schmidt Fahrzeugtechnik e.K.,Fa. Schmidt Fahrzeugtechnik|Schmidt Fahrzeugtechnik,DE63489809545062331389|DE71 1085 8270 7060 2074 36|DE66749547994330909653
1036,Windkraft Emden AG,Windkraft Emden,DE93 8096 7418 7640 8584 20|DE34900821288421737788|DE70214232759619312491
1037,Müller & Horn AG,Muller & Horn AG|Muller & Horn,DE36999215401213291701
1038,Schulze Holzbau e.K.,Fa. Schulze Holzbau|Schulze Holzbau,DE75745588753060620248|DE53 3335 9785 1480 6204 21
1039,Hofmann & Böhm GbR,Hofmann & Bohm GbR|Hofmann & Böhm,DE98 4555 5191 4145 6562 74
1040,Becker & Maier KG,Fa. Becker & Maier,DE84 4612 9139 7883 3067 83|DE37 1397 7095 0301 1882 58
1041,Köhler Werbetechnik KG,Kohler Werbetechnik|Fa. Köhler Werbetechnik,DE77555549531302948417|DE96647048924954455634|DE79584762245606343942
1042,Kühn Immobilien UG (haftungsbeschränkt),Kuhn Immobilien|Kühn Immobilien|Fa. Kühn Immobilien,DE98 2492 1033 6468 7558 01
1043,Bauer Maschinenbau e.K.,Fa. Bauer Maschinenbau,DE24343863388406212758|DE95847500128480477126
1044,Schröder & Carstens GbR,Fa. Schröder & Carstens|Schröder & Carstens,DE51 9630 8192 5368 9065 66|DE56 1995 7494 4900 7657 43
1045,Weiß Immobilien GmbH & Co. KG,Weiß Immobilien,DE57325344502945799776|DE66 3967 3065 2513 8504 17|DE33753954163453174110
1046,Günther Fleischerei AG,Günther Fleischerei|Gunther Fleischerei AG,DE90869603523224080917|DE50485577940096744968
1047,Catering Cuxhaven e.K.,Catering Cuxhaven|Fa. Catering Cuxhaven,DE19349680631449190626|DE17 8188 9255 1361 3671 73|DE63 5233 1354 5261 2887 85
1048,Engel GmbH & Co. KG,Engel GmbH u. Co. KG,DE78 4029 6804 9123 0497 87|DE52 3495 0472 1042 0997 58
1049,Vogt GmbH & Co. KG,Vogt GmbH u. Co. KG,DE45554413563103907716|DE97274334150331326419
1050,Bäckerei Stade UG (haftungsbeschränkt),Backerei Stade|Bäckerei Stade|Fa. Bäckerei Stade,DE13235538219747208522|DE50 1074 7170 7362 2894 43
1051,Braun & Maier e.K.,Braun & Maier,DE91125980233902489218
1052,Verlag Kiel KG,Verlag Kiel,DE64 3126 1609 9084 4688 39|DE97105060298977688170
1053,Kuhn Verlag AG,Fa. Kuhn Verlag|Kuhn Verlag Aktiengesellschaft,DE63178845821566377461|DE63945875268905396475
1054,Schneider Schifffahrt OHG,Schneider Schifffahrt,DE16541123761223630048|DE92 5774 3879 5178 8509 15
1055,Stein Werbetechnik KG,Fa. Stein Werbetechnik|Stein Werbetechnik,DE67982997179116020485
1056,Albrecht Bäckerei GmbH,Albrecht Bäckerei Ges.m.b.H.|Albrecht Bäckerei,DE63 9728 6559 3244 2852 83
1057,Schreiber Elektro GmbH,Schreiber Elektro,DE39 5212 7906 4234 4588 17|DE77 9026 1517 5102 9128 36
1058,Pohl & Köhler e.K.,Pohl & Kohler,DE37 7806 0347 2583 1954 50
1059,Schifffahrt Lüneburg OHG,Schifffahrt Luneburg OHG|Schifffahrt Lüneburg,DE58 7082 8089 5979 5532 42|DE62577395376337700504|DE96 1233 1900 6445 8208 31
1060,Becker & Jung UG (haftungsbeschränkt),Fa. Becker & Jung|Becker & Jung,DE84639654343996251097|DE58 7297 9120 7076 6729 62|DE74707993277702331281
1061,Pfeiffer GmbH,Pfeiffer,DE17340130066801922147
1062,Winter & Winkler e.K.,Winter & Winkler,DE74658052407146103605
1063,Sommer Solartechnik UG (haftungsbeschränkt),Sommer Solartechnik UG (haftungsbeschrankt)|Sommer Solartechnik,DE89 1555 4573 3597 4335 37|DE56 4756 6599 0450 2928 70
1064,Lorenz & Stein GmbH,Lorenz & Stein Ges.m.b.H.,DE21 6701 5049 1539 6944 01|DE81 8540 4984 1570 7876 94
1065,Mayer Kältetechnik UG (haftungsbeschränkt),Fa. Mayer Kältetechnik|Mayer Kaltetechnik|Mayer Kaltetechnik UG (haftungsbeschrankt),DE53721436012049972574|DE74431299638919082373
1066,Schuster Metallbau UG (haftungsbeschränkt),Schuster Metallbau|Schuster Metallbau UG (haftungsbeschrankt),DE46491442332095931898
1067,Keller & Sommer GmbH,Fa. Keller & Sommer,DE83 1472 4937 1138 0732 89
1068,Neumann Metallbau OHG,Neumann Metallbau|Fa. Neumann Metallbau,DE18 1695 4372 7008 6170 15
1069,Dietrich GmbH & Co. KG,Dietrich GmbH u. Co. KG,DE19337559440481524390
1070,Wagner GmbH,,DE59 1338 9616 4938 0481 19|DE26 7807 7682 0424 6014 77
1071,Hartmann UG (haftungsbeschränkt),Hartmann|Hartmann UG (haftungsbeschrankt),DE64747158900806694823|DE71 2276 4577 2126 6378 69|DE46 5446 4079 2002 2237 74
