Umsatz-ID;Buchungstag;Valutadatum;Auftraggeber;IBAN;Verwendungszweck;Betrag;Waehrung
NW-2026-08-000001;03.08.2026;03.08.2026;Verlag Flensburg KG;DE16 4536 8346 1836 0012 61;Zahlung RE-2026-001199 Verlag;8.577,55;EUR
NW-2026-08-000002;03.08.2026;03.08.2026;Sanitär Flensburg;DE17845261446247318205;Sammelueberweisung;271,91;EUR
NW-2026-08-000003;03.08.2026;03.08.2026;Fischer GmbH & Co. KG;DE15859636443246039396;Rechnungen Juli/August;274,89;EUR
NW-2026-08-000004;03.08.2026;03.08.2026;Schneider Logistik e.K.;DE81 6363 6859 7773 0513 69;Zahlung RE 2026/036368;22.586,59;EUR
NW-2026-08-000005;03.08.2026;03.08.2026;Hansen GmbH;DE74719898020443210228;Zahlung laut Kontoauszug;10.570,18;EUR
NW-2026-08-000006;03.08.2026;03.08.2026;TIEFBAU KIEL AG;DE83848849834894362931;Ueberweisung;206,15;EUR
NW-2026-08-000007;03.08.2026;03.08.2026;Otto Textil KG;DE45160215970857650409;Ausgleich Konto;383,01;EUR
NW-2026-08-000008;03.08.2026;03.08.2026;Lüdtke Metallbau GmbH u. Co. KG;DE19843506366093612084;Ausgleich offene Posten;930,74;EUR
NW-2026-08-000009;03.08.2026;04.08.2026;Stein Systemhaus e.K.;DE97 2524 4709 5216 9981 91;RE 2026 035796;74,32;EUR
NW-2026-08-000010;03.08.2026;03.08.2026;Kruger & Thomas KG;DE27246960367663773625;Rechnung RE-2026-00956;20.004,66;EUR
NW-2026-08-000011;03.08.2026;03.08.2026;Medizintechnik Stade;;Rechnungen Juli/August;1.212,55;EUR
NW-2026-08-000012;03.08.2026;04.08.2026;Fischer GmbH;DE26 9449 4010 6766 7611 08;Rg re-2026-026103;610,98;EUR
NW-2026-08-000013;03.08.2026;03.08.2026;Vogel Fleischerei GmbH & Co. KG;DE52597902290503533304;Monatsrechnung;12.143,85;EUR
NW-2026-08-000014;03.08.2026;03.08.2026;Kuhn Kältetechnik AG;;KD-02779 RE-2026-023279;2.573,54;EUR
NW-2026-08-000015;03.08.2026;03.08.2026;Hafenservice Bremen GmbH;DE23774920067232055295;RE-2026-027803 Danke;868,68;EUR
NW-2026-08-000016;03.08.2026;03.08.2026;LANGE SYSTEMHAUS OHG;DE62691385852661344839;RE-2026-032556 vom 30.03.2026;918,19;EUR
NW-2026-08-000017;03.08.2026;03.08.2026;Busch Catering OHG;DE43 4171 4103 6990 2547 22;RE-2026-022027 / Skonto geprueft;1.972,87;EUR
NW-2026-08-000018;03.08.2026;04.08.2026;Sanitar Kiel;;RE-2026-037318 / Skonto geprueft;1.545,00;EUR
NW-2026-08-000019;03.08.2026;03.08.2026;Kältetechnik Schwerin KG;DE10790282543070806420;Rechnung RE/2026/013222;23.810,60;EUR
NW-2026-08-000020;03.08.2026;03.08.2026;Fischer Kaltetechnik;DE87663846002461399335;RE-2026-018483 Danke;4.091,80;EUR
NW-2026-08-000021;03.08.2026;03.08.2026;Immobilien Husum GmbH;DE58 6747 2026 4585 8084 60;Rg. vom 09.03.2026;191,16;EUR
NW-2026-08-000022;03.08.2026;04.08.2026;Möller Medizintechnik KG;DE42124137982981425757;RE-2026-031678;511,54;EUR
